epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,515.465,0.65683,0.92941,0.58468,0.89882,0.86634,0.90086,0.88692,0.76319,0.86634,0.90086,0.88692,0.75094,0.61183,0.82282,0.60431,0.89153,0.00134836,0.00134836,0.00134836
59,522.027,0.67159,0.95137,0.59859,0.90001,0.73312,0.84613,0.83209,0.70129,0.72715,0.85255,0.83219,0.68475,0.64232,0.83055,0.68067,0.9066,0.00134695,0.00134695,0.00134695
60,530.883,0.66678,0.94175,0.60114,0.90285,0.82693,0.85255,0.85766,0.71835,0.82693,0.85255,0.85766,0.71619,0.63313,0.82947,0.65478,0.90788,0.00134553,0.00134553,0.00134553
61,538,0.65007,0.91551,0.58951,0.89896,0.7472,0.82292,0.88159,0.759,0.7472,0.82292,0.88159,0.75656,0.60033,0.84888,0.64096,0.89879,0.00134412,0.00134412,0.00134412
62,546.532,0.63504,0.8865,0.57289,0.89321,0.7935,0.91319,0.86665,0.73575,0.7935,0.91319,0.86665,0.71592,0.64255,0.9183,0.63312,0.91454,0.0013427,0.0013427,0.0013427
63,553.856,0.64285,0.8921,0.56148,0.88923,0.80181,0.80989,0.83906,0.68702,0.80181,0.80989,0.83906,0.69509,0.66422,0.84621,0.67976,0.91005,0.00134129,0.00134129,0.00134129
64,562.63,0.64473,0.90129,0.59566,0.89364,0.77485,0.82985,0.79886,0.67268,0.77485,0.82985,0.79969,0.65688,0.61771,0.87815,0.73654,0.89989,0.00133987,0.00133987,0.00133987
65,570.57,0.63252,0.88049,0.57375,0.88525,0.85266,0.81022,0.85296,0.71218,0.79065,0.88952,0.85325,0.69002,0.65162,0.85559,0.72037,0.90834,0.00133846,0.00133846,0.00133846
66,578.657,0.66402,0.95012,0.58614,0.89526,0.76499,0.8293,0.83038,0.70359,0.76499,0.8293,0.83092,0.70194,0.61145,0.87761,0.68344,0.89693,0.00133704,0.00133704,0.00133704
67,587.497,0.64925,0.91831,0.59024,0.8965,0.69361,0.87508,0.82298,0.69077,0.68974,0.87181,0.82082,0.69232,0.63873,0.89072,0.8573,0.89719,0.00133563,0.00133563,0.00133563
68,594.502,0.63896,0.91616,0.5698,0.89228,0.78469,0.83023,0.82755,0.70002,0.78469,0.83023,0.82727,0.71081,0.63528,0.84643,0.78088,0.90278,0.00133421,0.00133421,0.00133421
69,603.498,0.62721,0.89753,0.55903,0.89039,0.81267,0.89485,0.89523,0.76235,0.81267,0.89485,0.89463,0.76934,0.60263,0.82578,0.63099,0.88983,0.0013328,0.0013328,0.0013328
70,610.891,0.62588,0.88348,0.55192,0.88783,0.84558,0.89676,0.88341,0.74406,0.84558,0.89676,0.88341,0.75679,0.61491,0.84577,0.60321,0.8938,0.00133139,0.00133139,0.00133139
71,619.812,0.62921,0.87699,0.55328,0.89244,0.83271,0.90358,0.8749,0.73914,0.83271,0.90358,0.8749,0.73815,0.61274,0.8859,0.61327,0.89331,0.00132997,0.00132997,0.00132997
72,627.689,0.63526,0.90565,0.55004,0.8881,0.80833,0.88556,0.90161,0.76415,0.80833,0.88556,0.90161,0.76354,0.63687,0.8573,0.68661,0.89665,0.00132856,0.00132856,0.00132856
73,635.685,0.6376,0.90857,0.56491,0.88764,0.87777,0.77201,0.92267,0.77786,0.87777,0.77201,0.92312,0.78673,0.60751,0.82412,0.58396,0.8979,0.00132714,0.00132714,0.00132714
74,644.558,0.63535,0.87578,0.55075,0.8934,0.8559,0.91373,0.8905,0.7508,0.8559,0.91373,0.8905,0.73775,0.62813,0.85977,0.58527,0.90815,0.00132573,0.00132573,0.00132573
75,652.179,0.63633,0.89249,0.55586,0.89142,0.87072,0.90013,0.89252,0.75742,0.87072,0.90013,0.89252,0.718,0.62692,0.95555,0.60388,0.90806,0.00132431,0.00132431,0.00132431
76,660.642,0.64146,0.90384,0.54833,0.89525,0.8759,0.8652,0.86725,0.7485,0.8759,0.8652,0.86725,0.70209,0.64169,1.01348,0.71263,0.91365,0.0013229,0.0013229,0.0013229
77,669.892,0.63447,0.88783,0.54007,0.88962,0.83765,0.8268,0.84668,0.72239,0.83765,0.8268,0.84668,0.70636,0.6264,0.93035,0.76584,0.90565,0.00132148,0.00132148,0.00132148
78,678.343,0.63803,0.90422,0.54,0.89274,0.77409,0.91727,0.8639,0.74325,0.77409,0.91727,0.8639,0.71769,0.62393,0.86657,0.68592,0.90213,0.00132007,0.00132007,0.00132007
